OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Length,Shape_Area
"10681","1969",CA,CCO,LAC,SAN FRAN FIRE,"00031000",1969/08/17 00:00:00,,"14",,,856.892456054688,,"1","00000036",12072.554520964,3467720.69775114
"10682","1969",CA,CCO,LAC, ,"00000000",1969/05/23 00:00:00,,"14",,,10.6835861206055,,"1","00000000",873.739040207315,43234.939408003
"10683","1969",CA,CCO,LAC, ,"00000000",1969/10/12 00:00:00,,"14",,,635.355102539062,,"1","00000000",8549.30549588924,2571190.95653913
"10684","1978",CA,CCO,LAC, ,"00000000",1978/07/29 00:00:00,,"14",,,15.9079694747925,,"1","00000000",1089.63300906556,64377.2690531795
"10685","1978",CA,CCO,LAC, ,"00000000",1978/07/20 00:00:00,,"14",,,1.89541065692902,,"1","00000000",325.48210660883,7670.45481751797
"10686","1978",CA,CCO,LAC, ,"00000000",1978/06/13 00:00:00,,"14",,,87.3182907104492,,"1","00000000",4365.13100510635,353364.578729618
"10687","1978",CA,CCO,LAC, ,"00000000",1978/07/08 00:00:00,,"14",,,5.85168266296387,,"1","00000000",825.062569204457,23680.9191787809
"10688","1978",CA,CCO,LAC, ,"00000000",1978/08/07 00:00:00,,"14",,,3.5030243396759,,"1","00000000",489.659735906567,14176.2362320574
"10689","1978",CA,CCO,LAC, ,"00000000",1978/06/14 00:00:00,,"14",,,4.25048542022705,,"1","00000000",907.655460425898,17201.1037424774
"10690","1978",CA,CCO,LAC, ,"00000000",1978/09/20 00:00:00,,"14",,,10.5765151977539,,"1","00000000",918.296147531575,42801.6378389356
"10691","1978",CA,CCO,LAC, ,"00000000",1978/08/16 00:00:00,,"14",,,9.76091194152832,,"1","00000000",826.362450758984,39501.0097915639
"10692","1978",CA,CCO,LAC, ,"00000000",1978/08/26 00:00:00,,"14",,,10.8429269790649,,"1","00000000",852.470576597439,43879.7685312659
"10693","1998",CA,CDF,MVU,ALFORD,"00007114",1998/10/20 00:00:00,,"14",,,57.2387008666992,,"1","00000000",2756.08008379525,231636.799347339
"10694","1998",CA,CDF,MVU,JAMACHA,"00004500",1998/07/17 00:00:00,,"14",,,147.808563232422,,"1","00000000",4706.73220235083,598160.027694311
"10695","1998",CA,CDF,MVU,FEATHERSTONE,"00005460",1998/08/21 00:00:00,,"14",,,250.948699951172,,"1","00000000",5870.89982836329,1015553.35493969
"10696","1998",CA,CDF,MVU,SUMMIT,"00000000",1998/07/17 00:00:00,,"14",,,1123.0048828125,,"1","00000000",8916.19883473908,4544639.71233983
